Criterion,Max Depth,Min Samples,F1 Score
entropy,3,2,0.9999999994750002
entropy,3,10,0.9999999994750002
entropy,3,20,0.9999999994750002
entropy,3,30,0.9873417716269829
entropy,5,2,0.9638554211641748
entropy,5,10,0.9999999994750002
entropy,5,20,0.9999999994750002
entropy,5,30,0.9873417716269829
entropy,9,2,0.9638554211641748
entropy,9,10,0.9999999994750002
entropy,9,20,0.9999999994750002
entropy,9,30,0.9873417716269829
entropy,11,2,0.9638554211641748
entropy,11,10,0.9999999994750002
entropy,11,20,0.9999999994750002
entropy,11,30,0.9873417716269829
gain_ratio,3,2,0.9873417716269829
gain_ratio,3,10,0.9873417716269829
gain_ratio,3,20,0.9873417716269829
gain_ratio,3,30,0.9873417716269829
gain_ratio,5,2,0.9873417716269829
gain_ratio,5,10,0.9397590356225867
gain_ratio,5,20,0.9873417716269829
gain_ratio,5,30,0.9873417716269829
gain_ratio,9,2,0.9999999994750002
gain_ratio,9,10,0.9397590356225867
gain_ratio,9,20,0.9873417716269829
gain_ratio,9,30,0.9873417716269829
gain_ratio,11,2,0.9999999994750002
gain_ratio,11,10,0.9397590356225867
gain_ratio,11,20,0.9873417716269829
gain_ratio,11,30,0.9873417716269829
gini,3,2,0.9999999994750002
gini,3,10,0.9999999994750002
gini,3,20,0.9999999994750002
gini,3,30,0.9873417716269829
gini,5,2,0.9638554211641748
gini,5,10,0.9999999994750002
gini,5,20,0.9999999994750002
gini,5,30,0.9873417716269829
gini,9,2,0.9638554211641748
gini,9,10,0.9999999994750002
gini,9,20,0.9999999994750002
gini,9,30,0.9873417716269829
gini,11,2,0.9638554211641748
gini,11,10,0.9999999994750002
gini,11,20,0.9999999994750002
gini,11,30,0.9873417716269829
